Iteration,Modularity,Community Count
0,0.6725870264647045,99
1,0.6958971192672984,95
2,0.695828864754845,97
3,0.6932438231627421,98
4,0.6833822229160903,99
5,0.6714031637143226,99
6,0.6871307293582942,96
7,0.6932540221128846,99
8,0.6832378685449391,93
9,0.6621738983760902,94
10,0.6793261789005562,95
11,0.6875222121365848,96
12,0.6806489042797034,100
13,0.697250441496851,99
14,0.6885146484382594,99
15,0.6837101583896873,96
16,0.6961881816134771,97
17,0.6970731366714137,100
18,0.6950898331373176,98
19,0.6808073802741231,94
20,0.6915923777753782,97
21,0.696145032209062,98
22,0.6988187262138861,93
23,0.6942401821375507,93
24,0.6932610829245196,95
25,0.686646671494164,94
26,0.6957935606966876,99
27,0.6739348569518687,95
28,0.6879231093303837,95
29,0.6907788153683978,93
30,0.6920552532046214,96
31,0.691415072949945,100
32,0.6886205606127406,96
33,0.6764077100924851,92
34,0.6937490634617812,102
35,0.6960854075774892,94
36,0.6697909450582452,99
37,0.6931355573843813,95
38,0.6852062659211392,100
39,0.677741418956389,96
40,0.6870969943693884,96
41,0.6619746265811289,92
42,0.6836630863121337,92
43,0.7002301040057437,98
44,0.6916692621687125,97
45,0.6843573994559959,95
46,0.6957433504806325,96
47,0.6851372268740687,97
48,0.7002708998062929,95
49,0.6939138157332053,100
50,0.6870303089261893,100
51,0.6894451065044891,100
52,0.698395077515934,97
53,0.7002520709752735,96
54,0.6749068953532744,96
55,0.6806944072880066,93
56,0.7008553781025247,94
57,0.6920827119165225,98
58,0.6973477237904515,98
59,0.6961411095359288,101
60,0.6844648806997294,97
61,0.6910957673572274,97
62,0.6888182633384561,98
63,0.6703620862658516,97
64,0.6777602477874078,92
65,0.6914127193460667,97
66,0.6828244187971266,98
67,0.6980694956462167,95
68,0.6938486993592586,95
69,0.6721045376698206,94
70,0.6963121380843668,95
71,0.6899432859918899,95
72,0.6911208724652552,99
73,0.6911726517505613,97
74,0.6766211035107043,97
75,0.6910188829639002,95
76,0.692570692453783,97
77,0.6885876101584604,96
78,0.6742839748603662,97
79,0.6746440762536209,97
80,0.6851081990929137,98
81,0.6886566492055297,93
82,0.6832496365643249,93
83,0.6921619499137308,100
84,0.6991545070337343,101
85,0.6859405903309154,95
86,0.6911208724652559,97
87,0.6759675861673902,95
88,0.6853459130845371,97
89,0.6866474560287837,93
90,0.6955087746275124,98
91,0.6976685984524145,97
92,0.6939302909603433,99
93,0.691318575190971,99
94,0.681533859337636,93
95,0.6887398098758674,94
96,0.6968056103640051,93
97,0.681596622107709,96
98,0.6915562891825943,98
99,0.6926318861546056,94
