Iteration,Modularity,Community Count
0,-0.8388429752066113,1
1,-0.8388429752066113,1
2,-0.8388429752066113,1
3,-0.8388429752066113,1
4,-0.8388429752066113,1
5,-0.8388429752066113,1
6,-0.8388429752066113,1
7,-0.1756198347107438,2
8,-0.8388429752066113,1
9,-0.8388429752066113,1
10,-0.8388429752066113,1
11,-0.8388429752066113,1
12,-0.8388429752066113,1
13,-0.8388429752066113,1
14,-0.8388429752066113,1
15,-0.8388429752066113,1
16,-0.8388429752066113,1
17,-0.8388429752066113,1
18,-0.8388429752066113,1
19,-0.8388429752066113,1
20,-0.8388429752066113,1
21,-0.8388429752066113,1
22,-0.8388429752066113,1
23,-0.8388429752066113,1
24,-0.8388429752066113,1
25,-0.8388429752066113,1
26,-0.8388429752066113,1
27,-0.8388429752066113,1
28,-0.8388429752066113,1
29,-0.8388429752066113,1
30,-0.8388429752066113,1
31,-0.8388429752066113,1
32,-0.8388429752066113,1
33,-0.8388429752066113,1
34,-0.8388429752066113,1
35,-0.8388429752066113,1
36,-0.8388429752066113,1
37,-0.8388429752066113,1
38,-0.8388429752066113,1
39,-0.8388429752066113,1
40,-0.8388429752066113,1
41,-0.8388429752066113,1
42,-0.8388429752066113,1
43,-0.8388429752066113,1
44,-0.8388429752066113,1
45,-0.8388429752066113,1
46,-0.8388429752066113,1
47,-0.8388429752066113,1
48,-0.8388429752066113,1
49,-0.8388429752066113,1
50,-0.8388429752066113,1
51,-0.8388429752066113,1
52,-0.8388429752066113,1
53,-0.8388429752066113,1
54,-0.8388429752066113,1
55,-0.19266528925619839,2
56,-0.8388429752066113,1
57,-0.8388429752066113,1
58,-0.8388429752066113,1
59,-0.8388429752066113,1
60,-0.8388429752066113,1
61,-0.8388429752066113,1
62,-0.8388429752066113,1
63,-0.8388429752066113,1
64,-0.8388429752066113,1
65,-0.8388429752066113,1
66,-0.8388429752066113,1
67,-0.8388429752066113,1
68,-0.8388429752066113,1
69,-0.8388429752066113,1
70,-0.8388429752066113,1
71,-0.8388429752066113,1
72,-0.8388429752066113,1
73,-0.8388429752066113,1
74,-0.8388429752066113,1
75,-0.8388429752066113,1
76,-0.8388429752066113,1
77,-0.8388429752066113,1
78,-0.8388429752066113,1
79,-0.8388429752066113,1
80,-0.8388429752066113,1
81,-0.8388429752066113,1
82,-0.8388429752066113,1
83,-0.8388429752066113,1
84,-0.8388429752066113,1
85,-0.8388429752066113,1
86,-0.8388429752066113,1
87,-0.8388429752066113,1
88,-0.8388429752066113,1
89,-0.8388429752066113,1
90,-0.8388429752066113,1
91,-0.8388429752066113,1
92,-0.8388429752066113,1
93,-0.8388429752066113,1
94,-0.8388429752066113,1
95,-0.8388429752066113,1
96,-0.8388429752066113,1
97,-0.8388429752066113,1
98,-0.8388429752066113,1
99,-0.8388429752066113,1
