Iteration,Modularity
0,0.8099474642603206
1,0.75336439130677
2,0.7986093829636496
3,0.8039554744811428
4,0.7285249997977732
5,0.7990541263032099
6,0.7566041829821392
7,0.81682157554332
8,0.7840351846435539
9,0.7784322676671303
10,0.7637681674934984
11,0.8176228872234572
12,0.8353805091305687
13,0.8038673288367398
14,0.7806128292977766
15,0.7530401889272519
16,0.8066453621423516
17,0.7764847482314267
18,0.7777795922032666
19,0.7796172547581585
20,0.8372796157150477
21,0.7983412512583619
22,0.7965959934858319
23,0.8353084806021485
24,0.7796599577491692
25,0.8216874013070932
26,0.7736455742396304
27,0.7721364539375939
28,0.767207613347273
29,0.8281678094196786
30,0.7703839439282404
31,0.8393518593027833
32,0.794060197329887
33,0.7919228153696485
34,0.7440175869045056
35,0.8000950632590047
36,0.7476584327519049
37,0.8265776328107858
38,0.7574326043477349
39,0.8312846260765512
40,0.8115761937904582
41,0.7570731717904198
42,0.7930720434816594
43,0.7836696091002184
44,0.8129399710810922
45,0.7843511472241838
46,0.8217965107911858
47,0.7902111825005843
48,0.772860635870497
49,0.8118282489211412
50,0.82940994341063
51,0.8214136084724071
52,0.8311954784467183
53,0.8015924258809275
54,0.7588286584512242
55,0.785375057526444
56,0.8023069181982484
57,0.7610005422227378
58,0.7513863647086085
59,0.8439459034328324
60,0.8021346389008099
61,0.8636939940519187
62,0.8319960841266163
63,0.7928868198063023
64,0.7984362825546885
65,0.8038731881791283
66,0.7626036961081216
67,0.7907980034239996
68,0.7630292754354079
69,0.813597205295943
70,0.7614607915816568
71,0.8337538263089083
72,0.7967312271899674
73,0.7927633998116552
74,0.7985517042326464
75,0.8314964300436312
76,0.7766455528211483
77,0.789985231374016
78,0.817430941816937
79,0.7966508623434715
80,0.8218832885143565
81,0.7528871687185069
82,0.8248823976917766
83,0.7918374583119924
84,0.8246484170591432
85,0.8380413956185494
86,0.7818640155531252
87,0.8020724018563189
88,0.8426264907302002
89,0.793257682587967
90,0.7651445558973464
91,0.8148956270711948
92,0.749384402487145
93,0.8337630579602847
94,0.8104827456180503
95,0.8555874556494332
96,0.8067198762201316
97,0.7368565703580477
98,0.819486419238649
99,0.7797019594573434
