Iteration,Modularity
0,0.27617699713953725
1,0.31949586723976364
2,0.3438486808619628
3,0.27482250667092056
4,0.3251021169446182
5,0.3765159191146579
6,0.3199008642100933
7,0.3606292222981694
8,0.2833660870331218
9,0.36706788273654833
10,0.31056113145947917
11,0.2752102693770066
12,0.3250705509580836
13,0.3346798026741532
14,0.3407145875477598
15,0.32981329330491527
16,0.37643759953078115
17,0.3796616188070655
18,0.3503835857264066
19,0.3418813270484647
20,0.2975984785446716
21,0.3682153002992707
22,0.3172094169513606
23,0.3419589067201807
24,0.4362083138769912
25,0.34730363594874175
26,0.3459434939022065
27,0.25698462044511494
28,0.29267795007826913
29,0.3346172630686225
30,0.400692863688998
31,0.30842036749151114
32,0.30100176285846036
33,0.32830022316499524
34,0.41867348470402166
35,0.3655536028136509
36,0.30485373512982245
37,0.38101614643621357
38,0.3423956545608774
39,0.4099961729060722
40,0.3708525318522963
41,0.34512195931553163
42,0.34514043837875125
43,0.44380619615772826
44,0.3534039496515829
45,0.37151246007292377
46,0.3830929654291304
47,0.37347176835451085
48,0.2754550693711515
49,0.3079047369207923
50,0.328582090496028
51,0.39267835297415815
52,0.39902717249180836
53,0.3189343610987069
54,0.36149696302934964
55,0.3518550736012253
56,0.39689450555052597
57,0.3477837426480953
58,0.31098024338744196
59,0.33963825653095164
60,0.41678777570140535
61,0.36262354688508086
62,0.32891889906476085
63,0.3640817019714653
64,0.29640493026439857
65,0.3758981394130318
66,0.33990476355496474
67,0.31941977127452764
68,0.2909787124078798
69,0.25377529349657807
70,0.281281052008951
71,0.40992392681298684
72,0.3076203839678858
73,0.3035264068998
74,0.36631149655190737
75,0.36664072366342015
76,0.33286372272402376
77,0.30772681638331134
78,0.33050819964100714
79,0.3176250288586849
80,0.4021920418314248
81,0.40132740124652705
82,0.29158318492168983
83,0.37855742503783707
84,0.4022611661799632
85,0.39714238807788677
86,0.324687605682952
87,0.3630264632022029
88,0.28581932153137857
89,0.4082443870173169
90,0.3887902571601142
91,0.30429646088060525
92,0.3812783455090862
93,0.3322806991650904
94,0.370838432274198
95,0.3425028471905608
96,0.3392419112276921
97,0.34203496149719737
98,0.3542723572271815
99,0.31204542140263725
