Iteration,Modularity,Community Count
0,-0.8902136695661906,6
1,-0.8902136695661906,6
2,-0.8908008528657436,7
3,-0.8908008528657436,7
4,-0.8908008528657436,7
5,-0.8908008528657436,7
6,-0.8908008528657436,7
7,-0.8908008528657436,7
8,-0.8902136695661906,6
9,-0.8908008528657436,7
10,-0.8908008528657436,7
11,-0.8908008528657436,7
12,-0.8908008528657436,7
13,-0.8902136695661906,6
14,-0.8902136695661906,6
15,-0.8908008528657436,7
16,-0.8908008528657436,7
17,-0.8908008528657436,7
18,-0.8908008528657436,7
19,-0.8908008528657436,7
20,-0.8908008528657436,7
21,-0.8902136695661906,6
22,-0.8902136695661906,6
23,-0.8908008528657436,7
24,-0.8908008528657436,7
25,-0.8908008528657436,7
26,-0.8902136695661906,6
27,-0.8908008528657436,7
28,-0.8908008528657436,7
29,-0.8908008528657436,7
30,-0.8908008528657436,7
31,-0.8908008528657436,7
32,-0.8902136695661906,6
33,-0.8908008528657436,7
34,-0.8908008528657436,7
35,-0.8908008528657436,7
36,-0.8908008528657436,7
37,-0.8908008528657436,7
38,-0.8908008528657436,7
39,-0.8908008528657436,7
40,-0.8908008528657436,7
41,-0.8954852146066539,6
42,-0.8902136695661906,6
43,-0.8908008528657436,7
44,-0.8908008528657436,7
45,-0.8908008528657436,7
46,-0.8902136695661906,6
47,-0.8908008528657436,7
48,-0.8908008528657436,7
49,-0.8908008528657436,7
50,-0.8908008528657436,7
51,-0.8908008528657436,7
52,-0.8908008528657436,7
53,-0.8908008528657436,7
54,-0.8908008528657436,7
55,-0.8888824681340024,7
56,-0.8908008528657436,7
57,-0.8908008528657436,7
58,-0.8908008528657436,7
59,-0.8908008528657436,7
60,-0.8902136695661906,6
61,-0.8902136695661906,6
62,-0.8908008528657436,7
63,-0.8908008528657436,7
64,-0.8902136695661906,6
65,-0.8908008528657436,7
66,-0.8908008528657436,7
67,-0.8908008528657436,7
68,-0.8908008528657436,7
69,-0.8908008528657436,7
70,-0.8908008528657436,7
71,-0.8908008528657436,7
72,-0.8908008528657436,7
73,-0.8954852146066539,6
74,-0.8954852146066539,6
75,-0.8908008528657436,7
76,-0.8954852146066539,6
77,-0.8908008528657436,7
78,-0.8908008528657436,7
79,-0.8908008528657436,7
80,-0.8908008528657436,7
81,-0.8908008528657436,7
82,-0.8908008528657436,7
83,-0.8908008528657436,7
84,-0.8908008528657436,7
85,-0.8908008528657436,7
86,-0.8908008528657436,7
87,-0.8902136695661906,6
88,-0.8908008528657436,7
89,-0.8908008528657436,7
90,-0.8902136695661906,6
91,-0.8908008528657436,7
92,-0.8908008528657436,7
93,-0.8908008528657436,7
94,-0.8908008528657436,7
95,-0.8908008528657436,7
96,-0.8908008528657436,7
97,-0.8902136695661906,6
98,-0.8908008528657436,7
99,-0.8954852146066539,6
