Iteration,Modularity,Community Count
0,0.25522754312909046,5
1,0.24298334324806684,5
2,0.25984681737061305,5
3,0.21007584770969673,5
4,0.20691701368233206,5
5,-0.31897531231409515,4
6,0.3306231409875079,6
7,0.2523929208804287,5
8,0.055420880428316464,5
9,0.251908090422368,5
10,0.23128792385484873,5
11,0.298413146936348,6
12,0.2227082093991676,5
13,0.329403628792386,6
14,0.29609756097561035,6
15,-0.23389202855443084,4
16,0.26710142772159473,5
17,0.2523929208804287,5
18,0.21927275431290916,5
19,0.21927275431290916,5
20,0.21240481856038076,5
21,0.29677275431290945,6
22,0.2448557406305775,5
23,0.32267400356930437,6
24,0.21927275431290916,5
25,0.2407421177870318,5
26,0.25963265913146977,5
27,0.2448557406305775,5
28,0.23423408685306393,5
29,0.2392668054729334,4
30,-0.4262031528851838,4
31,0.323041344437835,6
32,0.25963265913146977,5
33,0.20608417608566332,4
34,0.25963265913146977,5
35,-0.3143798334324778,4
36,0.16886228435455103,4
37,0.3322144556811426,6
38,0.22689767995240967,5
39,0.2448557406305775,5
40,0.27088042831647907,5
41,0.2552900059488403,5
42,0.16886228435455103,4
43,0.21539113622843556,5
44,-0.21819601427721502,4
45,0.12605740630577042,4
46,0.2520806067816779,5
47,0.16868084473527678,4
48,0.23423408685306393,5
49,0.25257436049970283,5
50,-0.22399315883402646,4
51,0.1717653182629389,5
52,0.15743158834027374,4
53,-0.21819601427721502,4
54,0.258069601427722,5
55,0.2520806067816779,5
56,0.2858581201665681,5
57,0.2948319452706727,5
58,-0.3143798334324778,4
59,-0.03140243902438986,5
60,0.329403628792386,6
61,0.0185232004759074,5
62,0.21539113622843556,5
63,0.12605740630577042,4
64,0.3286897679952414,6
65,0.23535246876859042,5
66,0.3293426531826298,6
67,0.3310901249256398,6
68,0.27556960142772224,5
69,0.25984681737061305,5
70,0.2448557406305775,5
71,-0.22399315883402646,4
72,-0.018813206424746837,5
73,0.21240481856038076,5
74,0.21240481856038076,5
75,0.21240481856038076,5
76,0.18309488399762058,4
77,0.21070345032718632,5
78,0.3300907198096375,6
79,0.2997204045211189,5
80,0.32202706722189217,6
81,0.21927275431290916,5
82,0.2948319452706727,5
83,0.16313057703747777,4
84,0.2548319452706726,5
85,0.16868084473527678,4
86,0.2536020226055926,5
87,0.2554803688280789,5
88,0.25406157049375405,6
89,0.1716909577632363,5
90,0.25182778108268944,5
91,0.2540020820939924,5
92,0.25984681737061305,5
93,0.2950817965496734,6
94,-0.23046252230814893,4
95,0.2548319452706726,5
96,0.28922813801308794,5
97,0.1716909577632363,5
98,0.25257436049970283,5
99,0.2660916121356341,5
